epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,945.683,1.58021,1.71928,1.16388,0.58139,0.48632,0.50437,0.27917,1.51065,1.22302,1.148,0.00333207,0.00333207,0.00333207
2,1882.61,1.5685,1.33569,1.14286,0.61922,0.52894,0.54679,0.30923,1.50136,1.17773,1.15154,0.00659942,0.00659942,0.00659942
3,2809.17,1.60821,1.34321,1.15953,0.62321,0.51712,0.54998,0.30481,1.52628,1.18155,1.16542,0.00980077,0.00980077,0.00980077
4,3731.31,1.60615,1.31933,1.16032,0.66559,0.54952,0.58596,0.33814,1.48472,1.11191,1.15209,0.009703,0.009703,0.009703
5,4654.76,1.55087,1.23949,1.13882,0.68175,0.5618,0.60172,0.35379,1.44689,1.05801,1.13559,0.009604,0.009604,0.009604
6,6027.72,1.53329,1.19544,1.12903,0.69562,0.57899,0.63508,0.37819,1.42034,1.01155,1.12244,0.009505,0.009505,0.009505
7,6949.84,1.50263,1.16432,1.11824,0.74542,0.57115,0.64747,0.38592,1.40556,0.98438,1.11099,0.009406,0.009406,0.009406
8,7872.95,1.49075,1.13833,1.11236,0.70296,0.60214,0.64566,0.39152,1.3862,0.97009,1.10032,0.009307,0.009307,0.009307
9,8796.73,1.47281,1.11521,1.1036,0.73443,0.60346,0.66041,0.40748,1.37304,0.95076,1.09595,0.009208,0.009208,0.009208
10,9722.38,1.46824,1.10211,1.09853,0.73834,0.60494,0.66159,0.40506,1.36792,0.93207,1.09577,0.009109,0.009109,0.009109
11,11608.9,1.45837,1.08847,1.09352,0.73822,0.61045,0.67053,0.4162,1.35525,0.92202,1.0852,0.00901,0.00901,0.00901
12,15108,1.44297,1.07321,1.08834,0.7271,0.62733,0.67261,0.4192,1.34487,0.90572,1.08025,0.008911,0.008911,0.008911
13,16034.3,1.43999,1.06109,1.08372,0.75091,0.62105,0.68183,0.4273,1.34179,0.89678,1.07702,0.008812,0.008812,0.008812
14,16963.5,1.43679,1.05278,1.08364,0.73465,0.64161,0.68514,0.4267,1.33527,0.89166,1.0754,0.008713,0.008713,0.008713
15,17893.3,1.42451,1.04158,1.07766,0.74288,0.64046,0.6858,0.42967,1.32707,0.88117,1.07087,0.008614,0.008614,0.008614
16,18824.7,1.421,1.03782,1.07634,0.74426,0.6389,0.68946,0.43539,1.32215,0.87483,1.06806,0.008515,0.008515,0.008515
17,19760.8,1.41915,1.03011,1.07483,0.75442,0.63966,0.69036,0.43862,1.31869,0.86978,1.06507,0.008416,0.008416,0.008416
18,20697,1.41547,1.02255,1.07275,0.75326,0.63735,0.69241,0.43965,1.31551,0.86495,1.06455,0.008317,0.008317,0.008317
19,21630.8,1.41161,1.01975,1.07008,0.76175,0.63742,0.69579,0.4435,1.3137,0.86037,1.06364,0.008218,0.008218,0.008218
